"販売店ASAコード","販売店名","契約状況","店コード","区域","順路","枝番","読者No","氏名１","氏名２","フリガナ１","フリガナ２","郵便番号","住所１","住所２","住所３","住所４（建物名）","住所５（部屋番号）","住所６（通称）","住所７（方書）","電話番号１","電話番号２","メールアドレス１","メールアドレス２","生年月日","性別","職業","支払い方法","銘柄コード","本社銘柄コード","銘柄","現区分","契約開始","現入り日","契約日","契約終了","契約期間（開始）","契約期間（終了）","現入コード","現入理由","現契約区分","販促品名１","販促品名２","販促品名３"
"1935200",,"現",,"1","119","0","8850","●●●●",,"●●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-10",,,,,"●●●●●●●●●●",,,,,,,"自振","000100","1","セット","現読","20041001","20041001","20041001",,"20041001",,"1","新規","新勧",,,
"1935200",,"現",,"1","41","0","8853","●●",,"●●●●●●",,"4640091","名古屋市千種区","宮の腰町","4-12",,,,,"●●●●●●●●●●●","●●●●●●●●●●●",,,,,,"集金","000100","1","セット","現読","20191001","20191001","20191003",,"20191001",,"44","休み明け","固定継続",,,
"1935200",,"現",,"1","84","0","8861","●●●●●",,"●●●●●●●●",,"4640091","名古屋市千種区","宮の腰町","4-1",,,,,"●●●●●●●●●●",,,,,,,"自振","000100","1","セット","現読","20010801","20010801","20010801",,"20010801",,"1","新規","新勧",,,
"1935200",,"現",,"1","122","0","8862","●●●",,"●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-4",,,,,"●●●●●●●●●●",,,,,,,"クレジット","000100","1","セット","現読","20091001","20091001","20091001",,"20091001",,"4","１継","一継",,,
"1935200",,"現",,"1","123","0","8865","●●●●●",,"●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-4",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"クレジット","000201","3","朝刊単","現読","20200501","20200501","20200430",,"20200501","20210430","6","固継","固定継続",,,
"1935200",,"現",,"1","126","0","8867","●●●●",,"●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-4",,,,,"●●●●●●●●●●●","●●●●●●●●●●",,,,,,"集金","000201","3","朝刊単","現読","20120501","20120501","20120501",,"20120501",,"6","固継","固定継続",,,
"1935200",,"現",,"1","83","0","8868","●●●●●",,"●●●●●●●",,"4640091","名古屋市千種区","宮の腰町","2-2",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20110201","20110201","20110201",,"20110201",,"11","銘柄変更","固定継続",,,
"1935200",,"現",,"1","127","0","8869","●●●●●",,"●●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-4",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20090401","20090401","20090401",,"20090401",,"1","新規","新勧",,,
"1935200",,"現",,"1","129","0","8871","●●●●●",,"●●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-4",,,,,"●●●●●●●●●●",,,,,,,"集金","000201","3","朝刊単","現読","20200601","20200601","20200529",,"20200601","20210531","6","固継","固定継続",,,
"1935200",,"現",,"1","35","0","8872","●●●●●",,"●●●●●●●●",,"4640091","名古屋市千種区","宮の腰町","2-1",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20020601","20020601","20020601",,"20020601",,"4","１継","一継",,,
"1935200",,"現",,"1","130","0","8873","●●●●●",,"●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-4",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"集金","000201","3","朝刊単","現読","20191201","20191201","20190711",,"20191201","20201130","6","固継","固定継続",,,
"1935200",,"現",,"1","86","0","8876","●●●●●●●●●●●●",,"●●●●●●●●●●●●●●●●",,"4640091","名古屋市千種区","宮の腰町","1-33▲3階▲4～9月",,,,,"●●●●●●●●●●",,,,,,,"集金","000100","1","セット","現読","20010801","20010801","20010801",,"20010801",,"1","新規","新勧",,,
"1935200",,"現",,"1","131","0","8877","●●●●●",,"●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-4",,,,,"●●●●●●●●●●",,,,,,,"クレジット","000201","3","朝刊単","現読","20100701","20100701","20100701",,"20100701",,"4","１継","一継",,,
"1935200",,"現",,"1","125","0","8880","●●●●●",,"●●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-4",,,,,"●●●●●●●●●●",,,,,,,"自振","000100","1","セット","現読","20090601","20090601","20090601",,"20090601",,"1","新規","新勧",,,
"1935200",,"現",,"1","90","0","8881","●●●●",,"●●●●●●●●",,"4640092","名古屋市千種区","茶屋ヶ坂","1-6-4",,,,,"●●●●●●●●●●",,,,,,,"クレジット","000100","1","セット","現読","20010801","20010801","20010801",,"20010801",,"1","新規","新勧",,,
"1935200",,"現",,"1","92","0","8883","●●●●●",,"●●●●●●●●",,"4640092","名古屋市千種区","茶屋ヶ坂","1-5-10",,,,,"●●●●●●●●●●","●●●●●●●●●●",,,,,,"自振","000100","1","セット","現読","20011001","20011001","20011001",,"20011001",,"4","１継","一継",,,
"1935200",,"現",,"1","93","0","8885","●●●●●",,"●●●●●●●",,"4640092","名古屋市千種区","茶屋ヶ坂","1-8-6",,,,,"●●●●●●●●●●",,,,,,,"自振","000100","1","セット","現読","20111201","20111201","20111128",,"20111201",,"2","起し","起し",,,
"1935200",,"現",,"1","94","0","8889","●●●●●",,"●●●●●●●●",,"4640092","名古屋市千種区","茶屋ヶ坂","1-7-14",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"クレジット","000201","3","朝刊単","現読","20040801","20040801","20040801",,"20040801",,"1","新規","新勧",,,
"1935200",,"現",,"1","99","0","8892","●●●●●",,"●●●●●●●●●●",,"4640092","名古屋市千種区","茶屋ヶ坂","1-9-3",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"クレジット","000201","3","朝刊単","現読","20011001","20011001","20011001",,"20011001",,"4","１継","一継",,,
"1935200",,"現",,"1","46","0","8894","●●●●●",,"●●●●●●●",,"4640096","名古屋市千種区","下方町","3-13",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20090601","20090601","20090601",,"20090601",,"4","１継","一継",,,
"1935200",,"予",,"3","1","0","8918","●●●●●●●●●●",,"●●●●●●●",,"4640094","名古屋市千種区","赤坂町","1-23-10",,,,,"●●●●●●●●●●",,,,,,,"集金","000201","3","朝刊単","予約","20210901","20210901","20200604",,"20210901","20220831","7","先起し","先起し",,,
"1935200",,"現",,"5","184","0","9011","●●●●●",,"●●●●●●●●",,"4640841","名古屋市千種区","覚王山通","8-70-1",,,,,"●●●●●●●●●●",,,,,,,"クレジット","000100","1","セット","現読","20090705","20090705","20090705",,"20090705",,"25","即入","新勧",,,
